"","athlete_id","date","game_exposure","training_exposure","squat_depth_left","squat_depth_right","high_intensity_distance","collisions","distance","game_injury","training_injury","muscle_soreness"
"178",16780,2017-04-06,FALSE,TRUE,80.3,76.4,80,10,35206,FALSE,FALSE,6
"179",16780,2017-04-07,FALSE,TRUE,68.4,64.5,80,5,30671,FALSE,FALSE,5
"180",16780,2017-04-08,FALSE,TRUE,80.3,76.4,80,5,30405,FALSE,FALSE,3
"181",16780,2017-04-09,FALSE,TRUE,80.3,76.4,8,3,27028,FALSE,FALSE,6
"182",16780,2017-04-10,FALSE,TRUE,80.3,76.4,1,3,25863,FALSE,FALSE,6
"183",16780,2017-04-11,FALSE,TRUE,57.3,58.2,1,4,25863,FALSE,FALSE,5
"184",16780,2017-04-12,FALSE,TRUE,68.8,67.3,1,7,20115,FALSE,FALSE,6
"185",16780,2017-04-13,FALSE,TRUE,57.3,58.2,1,6,20115,FALSE,FALSE,6
"186",16780,2017-04-14,FALSE,TRUE,69.6,69.9,1,7,19848,FALSE,FALSE,5
"187",16780,2017-04-15,TRUE,FALSE,63.45,64.05,72,8,22959,FALSE,FALSE,6
"188",16780,2017-04-16,FALSE,TRUE,63.45,64.05,113,10,22121,FALSE,FALSE,6
"189",16780,2017-04-17,FALSE,TRUE,63.45,64.05,113,10,22121,FALSE,FALSE,5
"190",16780,2017-04-18,FALSE,TRUE,69.6,69.9,113,9,22121,FALSE,FALSE,6
"191",16780,2017-04-19,FALSE,TRUE,89.9,87,113,7,22121,FALSE,FALSE,6
"192",16780,2017-04-20,FALSE,TRUE,79.75,78.45,113,11,21659,FALSE,FALSE,5
"193",16780,2017-04-21,FALSE,TRUE,89.9,87,113,11,21197,FALSE,FALSE,6
"194",16780,2017-04-22,FALSE,TRUE,89.9,87,41,10,21197,FALSE,FALSE,6
"195",16780,2017-04-23,TRUE,FALSE,89.9,87,72,10,21197,FALSE,FALSE,5
"196",16780,2017-04-24,FALSE,TRUE,89.9,87,72,11,21197,FALSE,FALSE,6
"197",16780,2017-04-25,FALSE,TRUE,89.9,87,72,11,21197,FALSE,FALSE,6
"198",16780,2017-04-26,FALSE,TRUE,72.3,70.7,72,11,18233,FALSE,FALSE,5
"199",16780,2017-04-27,FALSE,TRUE,72.3,70.7,72,7,18233,FALSE,FALSE,6
"200",16780,2017-04-28,FALSE,TRUE,72.3,70.7,72,6,18233,FALSE,FALSE,6
"201",16780,2017-04-29,FALSE,TRUE,69.1,69.8,72,6,18233,FALSE,FALSE,5
"202",16780,2017-04-30,FALSE,TRUE,70.7,70.25,1,4,14856,FALSE,FALSE,6
"203",16780,2017-05-01,FALSE,TRUE,70.7,70.25,1,3,12308,FALSE,FALSE,6
"204",16780,2017-05-02,FALSE,TRUE,70.7,70.25,1,3,12308,FALSE,FALSE,5
"205",16780,2017-05-03,FALSE,TRUE,74.9,70.8,1,2,12671,FALSE,FALSE,6
"206",16780,2017-05-04,FALSE,TRUE,72,70.3,22,2,14673,FALSE,FALSE,6
"207",16780,2017-05-05,FALSE,TRUE,72,70.3,50,3,17786,FALSE,FALSE,5
"208",16780,2017-05-06,FALSE,TRUE,74.9,70.8,50,3,18052,FALSE,FALSE,6
"209",16780,2017-05-07,TRUE,FALSE,74.9,70.8,122,5,21429,FALSE,FALSE,6
"210",16780,2017-05-08,FALSE,TRUE,74.9,70.8,122,8,21871,FALSE,FALSE,5
"211",16780,2017-05-09,FALSE,TRUE,74.9,70.8,122,8,21871,FALSE,FALSE,6
"212",16780,2017-05-10,FALSE,TRUE,NA,NA,122,8,21871,FALSE,FALSE,6
"213",16780,2017-05-11,FALSE,TRUE,NA,NA,100,10,21871,FALSE,FALSE,5
"214",16780,2017-05-12,FALSE,TRUE,NA,NA,72,14,21605,FALSE,FALSE,6
"215",16780,2017-05-13,FALSE,TRUE,68.2,68.4,72,14,18494,FALSE,FALSE,6
"216",16780,2017-05-14,TRUE,FALSE,68.2,68.4,72,14,19332,FALSE,FALSE,5
"217",16780,2017-05-15,FALSE,TRUE,68.2,68.4,97,17,19455,FALSE,FALSE,6
"218",16780,2017-05-16,FALSE,TRUE,68.2,68.4,97,17,19455,FALSE,FALSE,6
"219",16780,2017-05-17,FALSE,TRUE,68.2,68.4,97,17,19455,FALSE,FALSE,5
"220",16780,2017-05-18,FALSE,TRUE,68.2,68.4,97,17,19455,FALSE,FALSE,6
"221",16780,2017-05-19,FALSE,TRUE,68.2,68.4,97,13,19455,FALSE,FALSE,6
"222",16780,2017-05-20,FALSE,TRUE,71.6,69.6,97,13,19455,FALSE,FALSE,5
"223",16780,2017-05-21,TRUE,FALSE,71.6,69.6,25,11,16078,FALSE,FALSE,6
"224",16780,2017-05-22,FALSE,TRUE,71.6,69.6,1,5,16078,FALSE,FALSE,6
"225",16781,2017-03-28,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"226",16781,2017-03-29,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"227",16781,2017-03-30,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"228",16781,2017-03-31,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"229",16781,2017-04-01,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"230",16781,2017-04-02,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"231",16781,2017-04-03,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"232",16781,2017-04-04,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"233",16781,2017-04-05,FALSE,TRUE,NA,NA,1,1,1,FALSE,FALSE,NA
"234",16781,2017-04-06,FALSE,TRUE,66.1,64.5,1,1,1,FALSE,FALSE,10
"235",16781,2017-04-07,FALSE,TRUE,66.1,64.5,1,1,1,FALSE,FALSE,10
"236",16781,2017-04-08,FALSE,TRUE,66.1,64.5,1,1,1,FALSE,FALSE,9
"237",16781,2017-04-09,FALSE,TRUE,66.1,64.5,1,1,1,FALSE,FALSE,10
"238",16781,2017-04-10,FALSE,TRUE,66.1,64.5,1,1,1,FALSE,FALSE,10
"239",16781,2017-04-11,FALSE,TRUE,66.1,64.5,1,1,1,FALSE,FALSE,9
"240",16781,2017-04-12,FALSE,TRUE,56.9,59.7,1,1,1,FALSE,FALSE,5
"241",16781,2017-04-13,FALSE,TRUE,56.9,59.7,1,1,1,FALSE,FALSE,10
"242",16781,2017-04-14,FALSE,TRUE,95.2,94.8,1,1,1,FALSE,FALSE,6
"243",16781,2017-04-15,FALSE,TRUE,76.05,77.25,1,1,1,FALSE,FALSE,10
"244",16781,2017-04-16,FALSE,TRUE,76.05,77.25,1,1,1,FALSE,FALSE,8
"245",16781,2017-04-17,FALSE,TRUE,76.05,77.25,1,1,1,FALSE,FALSE,7
"246",16781,2017-04-18,FALSE,TRUE,76.05,77.25,1,1,1,FALSE,FALSE,8
"247",16781,2017-04-19,FALSE,TRUE,95.2,94.8,1,1,1,FALSE,FALSE,9
"248",16781,2017-04-20,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,8
"249",16781,2017-04-21,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,10
"250",16781,2017-04-22,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,10
"251",16781,2017-04-23,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,9
"252",16781,2017-04-24,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,10
"253",16781,2017-04-25,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,10
"254",16781,2017-04-26,FALSE,TRUE,98.2,103.7,1,1,1,FALSE,FALSE,9
"255",16781,2017-04-27,FALSE,TRUE,91.8,96.1,1,1,1,FALSE,FALSE,10
"256",16781,2017-04-28,FALSE,TRUE,91.8,96.1,1,1,1,FALSE,FALSE,6
"257",16781,2017-04-29,FALSE,TRUE,103.2,105.4,1,1,1,FALSE,FALSE,7
"258",16781,2017-04-30,FALSE,TRUE,97.5,100.75,1,1,1,FALSE,FALSE,10
"259",16781,2017-05-01,FALSE,TRUE,97.5,100.75,1,1,1,FALSE,FALSE,8
"260",16781,2017-05-02,FALSE,TRUE,97.5,100.75,1,1,1,FALSE,FALSE,8
"261",16781,2017-05-03,FALSE,TRUE,97.5,100.75,1,1,1,FALSE,FALSE,9
"262",16781,2017-05-04,FALSE,TRUE,103.2,105.4,1,1,1,FALSE,FALSE,10
"263",16781,2017-05-05,FALSE,TRUE,103.2,105.4,1,1,1,FALSE,FALSE,10
"264",16781,2017-05-06,FALSE,TRUE,102.6,102.6,1,1,1,FALSE,FALSE,9
"265",16781,2017-05-07,TRUE,FALSE,102.6,102.6,1,1,1,FALSE,FALSE,10
"266",16781,2017-05-08,FALSE,TRUE,102.6,102.6,1,1,1,FALSE,FALSE,10
"267",16781,2017-05-09,FALSE,TRUE,102.6,102.6,1,1,1,FALSE,FALSE,9
"268",16781,2017-05-10,FALSE,TRUE,102.6,102.6,1,1,1,FALSE,FALSE,10
"269",16781,2017-05-11,FALSE,TRUE,102.6,102.6,1,1,1,FALSE,FALSE,10
"270",16781,2017-05-12,FALSE,TRUE,102.6,102.6,1,1,1,FALSE,FALSE,9
"271",16781,2017-05-13,FALSE,TRUE,105.8,105.3,1,1,1,FALSE,FALSE,10
"272",16781,2017-05-14,FALSE,TRUE,105.8,105.3,1,1,1,FALSE,FALSE,10
"273",16781,2017-05-15,FALSE,TRUE,105.8,105.3,1,1,1,FALSE,FALSE,9
"274",16781,2017-05-16,FALSE,TRUE,105.8,105.3,1,1,1,FALSE,FALSE,10
"275",16781,2017-05-17,FALSE,TRUE,105.8,105.3,1,1,1,FALSE,FALSE,10
"276",16781,2017-05-18,FALSE,TRUE,98.9,101.4,1,1,1,FALSE,FALSE,7
"277",16781,2017-05-19,FALSE,TRUE,102.35,103.35,1,1,1,FALSE,FALSE,9
"278",16781,2017-05-20,FALSE,TRUE,102.2,100.8,1,1,1,FALSE,FALSE,10
"279",16781,2017-05-21,FALSE,TRUE,100.55,101.1,1,1,1,FALSE,FALSE,10
"280",16781,2017-05-22,FALSE,TRUE,100.55,101.1,1,1,1,FALSE,FALSE,9
